AAC;Aachen
ABB;Dongola
ABE;Abenaki
ABI;Abihka
ACH;Achaea
ACO;Acoma
ADA;Adal
ADE;Aden
ADU;Andalusia
AFA;Aussa
AFG;Afghanistan
AGG;Attigneenongnahac
AGQ;Algonquin
AHM;Ahmednagar
AIR;Air
AJU;Ajuuraan
AKK;Aq Qoyunlu
AKM;Akamatsu
AKS;Aksum
AKT;Ando
ALA;Alaska
ALB;Albania
ALE;Alençon;Alencon
ALG;Algiers
ALH;Haasa
ALO;Alodia
ALS;Strasbourg
ALT;Altamaha
AMA;Amago
AMG;Armagnac
ANH;Anhalt
ANL;Anilco
ANN;Annam
ANS;Ansbach
ANT;Antemoro
ANU;Ainu
ANZ;Anizah
AOT;Aotearoa
APA;Apache
AQU;Aquileia
ARA;Aragon
ARB;Arabia
ARD;Ardalan
ARK;Arakan
ARL;Ardabil
ARM;Armenia
ARN;Arendaronon
ARP;Arapaho
ARW;Arawak
ASA;Asakura
ASH;Ashanti
ASI;Assiniboine
ASK;Ashikaga
ASS;Assam
AST;Astrakhan
ASU;Asturias
ATA;Atahachi
ATH;Athens
ATJ;Aceh
ATT;Attignawantan
ATW;Attiwandaron
AUG;Augsburg
AUH;Austria-Hungary
AUS;Australia
AUV;Auvergne
AVA;Ava
AVE;Angevin Kingdom
AVI;Avignon
AVR;Avaria
AWN;Awngthim
AYD;Aydin
AYU;Ayutthaya
AZT;Aztec
BAD;Baden
BAH;Bahmanis
BAL;Baluchistan
BAM;Bamberg
BAN;Banten
BAR;Bar
BAV;Bavaria
BDA;Baroda
BEI;Brunei
BEJ;Beja
BEN;Benin
BER;Berry
BEU;Berau
BGA;Baglana
BGL;Baghelkhand
BHA;Bharat
BHT;Soran
BHU;Bhutan
BIJ;Bijapur
BLA;Blackfoot
BLG;Bologna
BLI;Bali
BLM;Blambangan
BLO;Beloozero
BND;Bundelkhand
BNE;Bone
BNG;Bengal
BNJ;Banjar
BNY;Bunyoro
BOH;Bohemia
BON;Bonoman
BOS;Bosnia
BOU;Bourbonnais
BPI;Biapas
BPR;Prome
BRA;Brandenburg
BRB;Brabant
BRE;Bremen
BRG;Berg
BRI;Brittany
BRR;Berar
BRS;Barus
BRT;Buryatia
BRU;Brunswick
BRZ;Brazil
BSG;Busoga
BSH;Bashkiria
BSR;Basra
BST;Bastar
BTI;Semien
BTL;Bitlis
BTN;Buton
BTS;Betsimisaraka
BTU;Butuan
BUG;Buganda
BUK;Bukhara
BUL;Bulgaria
BUR;Burgundy
BUU;Burundi
BYT;Bayreuth
BYZ;Byzantium
CAB;Carib
CAD;Caddo
CAL;California
CAM;United Central America
CAN;Canada
CAO;Cahokia
CAQ;Casqui
CAS;Castile
CAT;Catalonia
CAY;Cayuga
CBA;Chiba
CCA;Chisca
CCM;Chichimeca
CCQ;Calchaqui
CDL;Dali
CEB;Cebu
CEP;Corfu
CEY;Kotte
CGS;Changsheng
CHA;Champa
CHC;Chu
CHD;Chanda
CHE;Cherokee
CHG;Moghulistan
CHH;Chahar
CHI;Chickasaw
CHK;Champasak
CHL;Chile
CHM;Chimu
CHO;Choctaw
CHP;Champagne
CHR;Chernigov
CHT;Chorti
CHU;Chukchi
CHV;Chavchuveny
CHY;Cheyenne
CIA;Chiaha
CIR;Circassia
CJA;Cajamarca
CKW;Chokwe
CLA;Colla
CLB;Calenberg
CLG;Chalaghawtha
CLI;Cilli
CLM;Colima
CMI;Miao
CMP;Rewa Kantha
CND;Candar
CNK;Chinook
CNN;Clanricarde
CNP;Can Pech
COB;Coburg
COC;Cocomes
COF;Cofitachequi
COI;Coixtlahuaca
COL;Colombia
COM;Comanche
COO;Coosa
COR;Corsica
COW;Coweta
CRA;Charca
CRB;Cirebon
CRE;Creek
CRI;Crimea
CRN;Cornwall
CRO;Croatia
CRT;Crete
CSC;Cascadia
CSH;Shun
CSK;Chosokabe
CSU;Cuzco
CTM;Chactemal
CUA;Charrua
CUB;Cuba
CXI;Xi
CYA;Chachapoya
CYI;Yi
CYP;Cyprus
CZH;Zhou
DAH;Dahomey
DAI;Dai Viet
DAL;Dalmatia
DAM;Damot
DAN;Denmark
DAR;Darfur
DAU;Dauphine
DAW;Dawasir
DEC;Deccan
DGB;Dagbon
DGL;Maldives
DHU;Dhundhar
DLH;Delhi
DLI;Deli
DMK;Demak
DMS;Desmond
DNG;Dang
DNZ;Danzig
DTE;Date
DTI;Doti
DTT;Dithmarschen
DUL;Dulkadir
DWT;Donauwörth;Donauworth
EFR;East Frisia
EGY;Egypt
EIC;East India Company
EJZ;Nanai
ENA;Ennarea
ENG;England
EOR;Eora
EPI;Epirus
ERE;Eretna
ERI;Erie
ERS;Eranshahr
EST;Estonia
ETH;Ethiopia
ETO;Etowah
ETR;Etruria
FAD;Fadl
FEO;Theodoro
FER;Ferrara
FEZ;Fez
FIN;Finland
FKN;Franconia
FLA;Flanders
FLO;Florida
FLY;Offaly
FOI;Foix
FOX;Fox
FRA;France
FRI;Friesland
FRM;Tungning
FRN;Frankfurt
FRS;Fars
FUL;Fulo
FZA;Fezzan
GAL;Galicia
GAM;Guamar
GAZ;Gazikumukh
GBR;Great Britain
GDW;Garha
GEL;Gelre
GEN;Genoa
GEO;Georgia
GER;Germany
GHD;Djerid
GHR;Garhwal
GLE;Geledi
GLG;Glogow
GLH;Golden Horde
GMA;Great Moravia
GMI;Kamilaroi
GNG;Gingee
GNV;Geneva
GOC;Golkonda
GOL;Great Horde
GOS;Goslar
GOT;Gotland
GRA;Granada
GRE;Greece
GRJ;Garjat
GRK;Gorkha
GRM;Germiyan
GUA;Guarani
GUG;Guge
GUJ;Gujarat
GUR;Fada N'gourma
GUY;Gascony
GWA;Gwalior
GZI;Zimbabwe
HAB;Austria
HAD;Hadoti
HAI;Hainaut
HAM;Hamburg
HAN;Hanover
HAR;Harar
HAT;Haiti
HAU;Hausa
HAW;Hawai'i
HDA;Haida
HDR;Hadramut
HDY;Hadiya
HED;Hejaz
HES;Hesse
HIN;Hindustan
HJA;Huyla
HJO;Hojo
HLR;Holy Roman Empire
HMI;Kara Del
HNI;Hasinai
HOB;Hobyo
HOD;Khodynt
HOL;Holland
HRZ;Herzegovina
HSA;Lübeck;Lubeck
HSC;Gaeldom
HSE;Hsenwi
HSI;Hsipaw
HSK;Hosokawa
HSN;Hisn Kayfa
HST;Huastec
HTK;Hatakeyama
HUA;Huai
HUN;Hungary
HUR;Huron
HWK;Hathawekela
ICE;Iceland
ICH;Ichisi
ICM;Ichma
IDR;Idar
IKE;Ikeda
ILI;Illinois
ILK;Ilkhanate
ILL;Illiniwek
IME;Imereti
IMG;Imagawa
INC;Inca
IND;Indrapura
ING;Ingolstadt
INN;Innu
IRE;Ireland
IRO;Iroquois
IRQ;Iraq
ISF;Isfahan
ISK;Isshiki
ISL;Isleta
ISR;Israel
ITA;Italy
ITO;Ito
ITZ;Itza
JAI;Malta
JAJ;Habsan
JAN;Jangladesh
JAP;Japan
JAR;Jarai
JFN;Jaffna
JGD;Junagarh
JIM;Jimma
JIN;Jin
JJI;Janjiro
JLV;Jhalavad
JMB;Jambi
JML;Jumla
JMN;Jan Mayen
JNN;Jenné;Jenne
JNP;Jaunpur
JOA;Joara
JOH;Johor
JOL;Jolof
JPR;Jeypore
JSL;Jaisalmer
KAA;Kaua'i
KAC;Kachar
KAF;Kaffa
KAL;Kale
KAM;Kham
KAN;Kano
KAQ;Kaqchikel
KAR;Karaman
KAS;Yarkand
KAT;Kutch
KAU;Kaurna
KAZ;Kazan
KBA;Kabylia
KBO;Kanem Bornu
KBU;Kaabu
KED;Kedah
KEL;Kelantan
KER;Zia
KGR;Kangra
KHA;Mongolia
KHD;Khandesh
KHI;Khiva
KHM;Khmer
KHO;Khorasan
KIC;Kiche
KID;Kildare
KIE;Kiev
KIK;Kikondja
KIO;Kiowa
KIT;Kitara
KJH;Keonhjar
KKC;Kikuchi
KLD;Kalundwe
KLE;Cleves
KLH;Kalahandi
KLK;Khalkha
KLM;Kalmyk
KLN;Keladi
KLP;Kalpi
KLT;Kolathunad
KMC;Kamchadals
KMN;Kumaon
KMT;Koch
KND;Kandy
KNG;Kong
KNI;The Knights
KNO;Kono
KNZ;Konstanz
KOC;Kochin
KOH;Koho
KOI;Mann
KOJ;Jerusalem
KOK;Ferghana
KOL;Cologne
KON;Kongo
KOR;Korea
KRA;Krakow
KRC;Korchin
KRK;Carnatic
KRL;Karelia
KRM;Kerman
KRW;Karagwe
KRY;Gilan
KSD;Khoshuud
KSH;Kashmir
KSI;Kasihta
KSJ;Kasanje
KSK;Kaskaskia
KSP;Kispoko
KTB;Kitabatake
KTS;Katsina
KTU;Kathmandu
KUB;Kuba
KUL;Kulin
KUR;Kurland
KUT;Kutai
KZB;Kazembe
KZH;Kazakh
LAC;Tzotzil
LAE;Latin Empire
LAI;Lau
LAK;Lakota
LAN;Florence
LAP;La Plata
LAR;Larrakia
LAU;Saxe-Lauenburg
LBV;Landshut
LDK;Ladakh
LDU;Lundu
LEB;Lebanon
LEI;Leinster
LEN;Lenape
LFA;Lanfang
LIB;Libertatia
LIE;Liege
LIG;Ligor
LIP;Lipan
LIT;Lithuania
LIV;Livonian Order
LNA;Lan Na
LND;Lunda
LNG;Liang
LNO;Lanao
LOA;Loango
LOI;The Isles
LON;León;Lepn
LOR;Lorraine
LOT;Lotharingia
LOU;Louisiana
LPP;Lippe
LRI;Luristan
LTG;Latgalia
LUA;Luang Prabang
LUB;Luba
LUC;Lucca
LUN;Lüneburg;Luneburg
LUW;Luwu
LUX;Luxembourg
LVA;Livonia
LWA;Limbuwan
LXA;Lan Xang
MAA;Ngati Awa
MAB;Calicut
MAD;Madurai
MAE;Maeda
MAG;Magdeburg
MAH;Mahican
MAI;Mainz
MAJ;Majapahit
MAK;Makuria
MAL;Mali
MAM;Mamluks
MAN;Mantua
MAR;Marathas
MAS;Madyas
MAT;Matlatzinca
MAU;Maui
MAW;Marwar
MAY;Maya
MAZ;Mazovia
MBA;Mombasa
MBL;Bishnupur
MBZ;Bregenz
MCA;Muisca
MCH;Manchu
MCM;Munster
MDA;Medina
MDI;Mogadishu
MED;Medri Bahri
MEI;Meissen
MEM;Memmingen
MEN;Mentese
MER;Mewar
MEW;Mewat
MEX;Mexico
MFA;Montferrat
MFL;Mikhlaf
MFY;Mahafaly
MGD;Maguindanao
MGE;Mongol Empire
MGR;Maregheh
MHR;Mahra
MHX;Haixi
MIA;Mianjin
MIK;Mikmaq
MIN;Min
MIR;Imerina
MIS;Miskito
MIX;Mixtec
MJE;Majeerteen
MJO;Majorca
MJZ;Jianzhou
MKA;Mong Kawng
MKL;Mecklenburg
MKP;Makwanpur
MKS;Makassar
MKU;Makua
MLB;Manipur
MLC;Malacca
MLG;Malgana
MLH;Mulhouse
MLI;Malindi
MLK;Karabakh
MLO;Milan
MLS;Maliseet
MLW;Malwa
MMA;Mong Mao
MMI;Miami
MNA;Maynila
MNG;Ming
MNI;Mong Nai
MNS;Thomond
MOD;Modena
MOE;Morea
MOH;Mohawk
MOL;Moldavia
MON;Montenegro
MOR;Morocco
MOS;Muscovy
MPA;Mong Pai
MPC;Mapuche
MPH;Muang Phuan
MRA;Maravi
MRE;Marehan
MRI;Mori
MRK;Marrakesh
MSA;Malaya
MSC;Mescalero
MSG;Mississage
MSI;Mossi
MSY;Mushasha
MTH;Meath
MTR;Mataram
MUG;Mughals
MUL;Multan
MUN;Münster;Munster
MVA;Moravia
MYA;Mong Yang
MYR;Xibe
MYS;Mysore
MZB;Mzab
NAG;Nagpur
NAH;Navajo
NAJ;Najd
NAK;Nakawe
NAP;Naples
NAT;Natives
NAV;Navarra
NAX;Naxos
NBI;Nubia
NDO;Ndongo
NED;Netherlands
NEH;Nehiyaw
NEV;Nevers
NGA;Nagaur
NGP;Jharkhand
NHX;Orochoni
NJR;Najran
NKO;Nkore
NNG;Ning
NOG;Nogai
NOL;Northumberland
NOO;Nyoongah
NOR;Norway
NOV;Novgorod
NPL;Nepal
NRM;Normandy
NSA;Nassau
NSS;New Providence
NTC;Natchitoches
NTZ;Natchez
NUB;Funj
NUM;Nuremberg
NUP;Nupe
NVK;Nivkh
NVR;Navanagar
NZH;Nizhny Novgorod
